psu,entercollege,over475,loantakeup
539.5,1,1,1
465,0,0,0
372,0,0,0
447,0,0,0
351.5,0,0,0
302,0,0,0
450.5,1,0,0
406,0,0,0
336,0,0,0
419.5,0,0,0
526.5,1,1,0
480.5,0,1,1
448,0,0,0
473,0,0,0
443,0,0,0
379.5,0,0,0
416.5,0,0,0
303,0,0,0
376,0,0,0
365.5,0,0,0
407,0,0,0
475.5,0,1,1
426.5,0,0,0
498,0,1,1
483,0,1,1
328,0,0,0
354.5,0,0,0
313,0,0,0
344.5,1,0,0
339.5,0,0,0
472,0,0,0
393,0,0,0
346,0,0,0
382,0,0,0
425.5,1,0,0
482,1,1,1
322,0,0,0
370.5,0,0,0
431,0,0,0
431.5,0,0,0
323.5,0,0,0
365.5,0,0,0
351.5,0,0,0
467.5,0,0,0
362,0,0,0
345,0,0,0
388.5,0,0,0
478.5,0,1,0
414,0,0,0
451.5,0,0,0
465,0,0,0
445,0,0,0
423,0,0,0
423,0,0,0
396.5,0,0,0
540.5,0,1,1
409.5,0,0,0
529.5,1,1,0
389,0,0,0
427,0,0,0
414,0,0,0
314.5,0,0,0
512.5,1,1,1
536.5,0,1,1
300,0,0,0
439.5,0,0,0
333,0,0,0
477,0,1,1
486,1,1,1
325.5,0,0,0
427,1,0,0
403,0,0,0
393.5,1,0,0
442.5,0,0,0
347.5,0,0,0
489.5,0,1,1
445.5,0,0,0
400.5,0,0,0
341,0,0,0
490,0,1,1
381,0,0,0
401.5,0,0,0
453,0,0,0
365.5,0,0,0
325,0,0,0
420.5,0,0,0
398.5,0,0,0
472,0,0,0
311,0,0,0
399,0,0,0
483,1,1,1
457.5,0,0,0
423.5,0,0,0
564.5,0,1,1
507,1,1,1
361,0,0,0
409.5,0,0,0
448,0,0,0
359.5,0,0,0
394.5,0,0,0
449.5,0,0,0
443.5,0,0,0
504,0,1,1
461.5,0,0,0
408.5,0,0,0
346,0,0,0
385,0,0,0
336,0,0,0
357,0,0,0
319,0,0,0
413.5,0,0,0
351.5,0,0,0
497.5,1,1,1
310.5,0,0,0
433.5,0,0,0
432,0,0,0
417.5,0,0,0
423.5,0,0,0
349,0,0,0
371.5,0,0,0
463.5,0,0,0
405,0,0,0
549.5,0,1,1
341,0,0,0
433.5,0,0,0
501,0,1,1
496,0,1,0
401,0,0,0
463.5,0,0,0
417,0,0,0
367,0,0,0
311,0,0,0
398,0,0,0
440,0,0,0
387.5,0,0,0
383,0,0,0
450,0,0,0
364,1,0,0
501.5,0,1,1
504,1,1,1
499.5,0,1,1
409.5,0,0,0
332,1,0,0
348,0,0,0
381,0,0,0
313.5,0,0,0
490,1,1,1
546,1,1,1
582.5,1,1,0
422,0,0,0
442.5,0,0,0
442,0,0,0
330.5,0,0,0
386.5,0,0,0
500.5,0,1,1
366.5,0,0,0
539,1,1,1
431.5,0,0,0
362.5,0,0,0
418.5,0,0,0
423,0,0,0
376.5,0,0,0
425,0,0,0
452.5,0,0,0
435,0,0,0
423.5,0,0,0
368.5,0,0,0
369,0,0,0
473,0,0,0
456,0,0,0
304.5,0,0,0
486.5,1,1,1
507,0,1,1
310,0,0,0
355.5,0,0,0
444.5,0,0,0
366.5,0,0,0
343,0,0,0
464,0,0,0
404,0,0,0
331.5,0,0,0
522,1,1,1
384.5,0,0,0
405.5,0,0,0
592,1,1,1
304,0,0,0
422,0,0,0
534.5,1,1,1
545.5,1,1,1
313,0,0,0
416,0,0,0
434.5,0,0,0
393,0,0,0
379.5,0,0,0
493.5,0,1,1
369.5,0,0,0
458,0,0,0
464.5,0,0,0
345,0,0,0
443,0,0,0
477,1,1,1
342,0,0,0
361.5,0,0,0
425,0,0,0
447.5,0,0,0
534,1,1,0
470,1,0,0
367.5,0,0,0
316.5,0,0,0
435,0,0,0
351,0,0,0
487.5,1,1,0
413.5,0,0,0
400.5,0,0,0
371.5,0,0,0
332,0,0,0
417.5,0,0,0
439,0,0,0
465.5,0,0,0
437,0,0,0
449.5,0,0,0
